amfi_code,max_drawdown_pct,peak_date,trough_date,recovery_date,scheme_name,category,fund_house
100016,-24.73,2022-03-30,2022-09-15,2023-03-14,HDFC Top 100 Fund - Regular Plan - Growth,Equity,HDFC Mutual Fund
100025,-4.31,2023-05-23,2023-07-28,2024-01-30,HDFC Short Term Debt Fund - Regular - Growth,Debt,HDFC Mutual Fund
100033,-16.22,2022-03-11,2022-05-12,2022-07-27,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,HDFC Mutual Fund
101206,-11.29,2023-04-24,2023-07-05,2023-09-28,ABSL Frontline Equity Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF
101207,-35.45,2024-11-21,2026-05-11,Not yet recovered,ABSL Small Cap Fund - Regular - Growth,Equity,Aditya Birla Sun Life MF
101208,-0.16,2023-09-05,2023-09-12,2023-09-22,ABSL Liquid Fund - Regular - Growth,Debt,Aditya Birla Sun Life MF
102885,-10.86,2022-02-03,2022-03-29,2022-05-23,UTI Nifty 50 Index Fund - Regular - Growth,Equity,UTI Mutual Fund
102886,-28.0,2025-01-07,2026-04-27,Not yet recovered,UTI Mid Cap Fund - Regular - Growth,Equity,UTI Mutual Fund
102887,-21.29,2022-01-06,2022-07-04,2023-03-13,UTI Flexi Cap Fund - Regular - Growth,Equity,UTI Mutual Fund
118632,-17.41,2024-01-02,2024-07-19,2025-05-21,Nippon India Large Cap Fund - Regular - Growth,Equity,Nippon India MF
118633,-18.63,2023-10-30,2024-02-29,2024-07-26,Nippon India Large Cap Fund - Direct - Growth,Equity,Nippon India MF
118634,-23.34,2025-04-09,2026-02-20,2026-04-15,Nippon India Small Cap Fund - Regular - Growth,Equity,Nippon India MF
118635,-11.51,2022-04-13,2022-06-09,2023-01-09,Nippon India ETF Nifty 50 BeES,Equity,Nippon India MF
118636,-8.32,2023-02-09,2024-02-09,2024-11-01,Nippon India Gilt Securities Fund - Regular - Growth,Debt,Nippon India MF
119092,-14.4,2023-10-12,2025-02-07,2025-12-31,Axis Bluechip Fund - Regular - Growth,Equity,Axis Mutual Fund
119093,-21.75,2022-02-24,2023-05-22,2023-12-26,Axis Bluechip Fund - Direct - Growth,Equity,Axis Mutual Fund
119094,-20.96,2022-04-14,2022-08-11,2023-01-17,Axis Midcap Fund - Regular - Growth,Equity,Axis Mutual Fund
119095,-51.68,2025-05-22,2026-05-11,Not yet recovered,Axis Small Cap Fund - Regular - Growth,Equity,Axis Mutual Fund
119120,-4.33,2024-09-16,2025-04-01,2025-08-22,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,SBI Mutual Fund
119551,-15.01,2023-08-24,2024-02-05,2025-01-08,SBI Bluechip Fund - Regular Plan - Growth,Equity,SBI Mutual Fund
119552,-11.8,2024-05-21,2024-09-02,2025-02-11,SBI Bluechip Fund - Direct Plan - Growth,Equity,SBI Mutual Fund
119598,-28.71,2024-08-28,2025-05-14,2025-09-29,SBI Small Cap Fund - Regular Plan - Growth,Equity,SBI Mutual Fund
119599,-52.57,2023-01-17,2025-10-28,Not yet recovered,SBI Small Cap Fund - Direct Plan - Growth,Equity,SBI Mutual Fund
120503,-13.9,2023-09-19,2023-11-09,2024-03-11,ICICI Pru Bluechip Fund - Regular - Growth,Equity,ICICI Prudential MF
120504,-12.59,2022-10-04,2023-05-30,2023-07-11,ICICI Pru Bluechip Fund - Direct - Growth,Equity,ICICI Prudential MF
120505,-18.19,2024-10-24,2025-01-23,2025-03-07,ICICI Pru Midcap Fund - Regular - Growth,Equity,ICICI Prudential MF
120506,-19.83,2023-03-31,2023-08-14,2024-01-11,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,ICICI Prudential MF
120507,-0.1,2025-10-16,2025-10-20,2025-10-24,ICICI Pru Liquid Fund - Regular - Growth,Debt,ICICI Prudential MF
120841,-17.57,2024-01-09,2025-02-14,2025-12-04,Kotak Bluechip Fund - Regular - Growth,Equity,Kotak Mahindra MF
120842,-24.0,2023-11-09,2024-10-17,2025-10-14,Kotak Emerging Equity Fund - Regular - Growth,Equity,Kotak Mahindra MF
120843,-12.97,2022-03-07,2022-04-13,2022-09-22,Kotak Flexicap Fund - Regular - Growth,Equity,Kotak Mahindra MF
120844,-0.12,2024-04-12,2024-04-30,2024-05-03,Kotak Liquid Fund - Regular - Growth,Debt,Kotak Mahindra MF
125497,-15.2,2023-12-22,2025-01-01,2025-04-16,HDFC Top 100 Fund - Direct Plan - Growth,Equity,HDFC Mutual Fund
125498,-21.12,2025-04-04,2025-09-12,2026-02-18,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,HDFC Mutual Fund
148567,-11.27,2023-07-11,2023-10-20,2024-02-21,Mirae Asset Large Cap Fund - Regular - Growth,Equity,Mirae Asset MF
148568,-15.27,2023-09-05,2024-01-24,2024-04-25,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,Mirae Asset MF
148569,-16.4,2023-08-10,2023-10-20,2024-04-10,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,Mirae Asset MF
149322,-14.11,2024-08-05,2024-12-19,2025-03-27,DSP Top 100 Equity Fund - Regular - Growth,Equity,DSP Mutual Fund
149323,-17.25,2022-06-06,2022-10-24,2022-12-20,DSP Midcap Fund - Regular - Growth,Equity,DSP Mutual Fund
149324,-31.17,2024-05-03,2025-01-03,2025-06-13,DSP Small Cap Fund - Regular - Growth,Equity,DSP Mutual Fund
