amfi_code,scheme_name,fund_house,category,plan,risk_grade,aum_crore,expense_ratio_pct,sub_category,scheme_type,launch_date
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Large Cap,Regular,Moderate,14288,1.54,Large Cap Fund,Open Ended Schemes,2013-01-01
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Large Cap,Direct,Moderate,1231,0.66,Large Cap Fund,Open Ended Schemes,2013-01-01
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Small Cap,Regular,Very High,19259,1.43,Small Cap Fund,Open Ended Schemes,2013-01-01
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,Direct,Very High,36061,0.72,Small Cap Fund,Open Ended Schemes,2013-01-01
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Gilt,Regular,Low,24101,0.77,Gilt,Open Ended Schemes,2013-01-01
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Large Cap,Regular,Moderate,6434,1.55,Large Cap Fund,Open Ended Schemes,2013-01-01
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Large Cap,Direct,Moderate,10611,0.92,Large Cap Fund,Open Ended Schemes,2013-01-01
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Mid Cap,Regular,High,23185,1.38,Mid Cap Fund,Open Ended Schemes,2013-01-01
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Mid Cap,Direct,High,18792,0.78,Mid Cap Fund,Open Ended Schemes,2013-01-01
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Short Duration,Regular,Low,27953,0.56,Short Duration,Open Ended Schemes,2013-01-01
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Large Cap,Regular,Moderate,36022,1.42,Large Cap Fund,Open Ended Schemes,2013-01-01
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Large Cap,Direct,Moderate,41553,0.8,Large Cap Fund,Open Ended Schemes,2013-01-01
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Mid Cap,Regular,High,979,1.36,Mid Cap Fund,Open Ended Schemes,2013-01-01
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Value,Regular,Moderately High,2571,1.41,Value,Open Ended Schemes,2013-01-01
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Liquid,Regular,Low,39116,0.74,Liquid,Open Ended Schemes,2013-01-01
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Large Cap,Regular,Moderate,20909,1.51,Large Cap Fund,Open Ended Schemes,2013-01-01
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Large Cap,Direct,Moderate,39475,0.72,Large Cap Fund,Open Ended Schemes,2013-01-01
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Small Cap,Regular,Very High,43630,1.53,Small Cap Fund,Open Ended Schemes,2013-01-01
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Index/ETF,Direct,Moderate,20284,0.89,Index/ETF,Open Ended Schemes,2013-01-01
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Gilt,Regular,Low,30030,0.55,Gilt,Open Ended Schemes,2013-01-01
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Large Cap,Regular,Moderate,35585,1.59,Large Cap Fund,Open Ended Schemes,2013-01-01
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Mid Cap,Regular,High,47469,1.56,Mid Cap Fund,Open Ended Schemes,2013-01-01
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Flexi Cap,Regular,Moderately High,35012,1.45,Flexi Cap Fund,Open Ended Schemes,2013-01-01
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Liquid,Regular,Low,27623,0.6,Liquid,Open Ended Schemes,2013-01-01
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Large Cap,Regular,Moderate,25803,1.64,Large Cap Fund,Open Ended Schemes,2013-01-01
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Large Cap,Direct,Moderate,15866,0.75,Large Cap Fund,Open Ended Schemes,2013-01-01
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Mid Cap,Regular,High,28996,1.38,Mid Cap Fund,Open Ended Schemes,2013-01-01
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Small Cap,Regular,Very High,21545,1.38,Small Cap Fund,Open Ended Schemes,2013-01-01
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Large Cap,Regular,Moderate,23500,1.6,Large Cap Fund,Open Ended Schemes,2013-01-01
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Small Cap,Regular,Very High,41613,1.53,Small Cap Fund,Open Ended Schemes,2013-01-01
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Liquid,Regular,Low,38995,0.79,Liquid,Open Ended Schemes,2013-01-01
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Index,Regular,Moderate,7350,1.57,Index,Open Ended Schemes,2013-01-01
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Mid Cap,Regular,High,41728,1.51,Mid Cap Fund,Open Ended Schemes,2013-01-01
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Flexi Cap,Regular,Moderately High,17912,1.64,Flexi Cap Fund,Open Ended Schemes,2013-01-01
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Large Cap,Regular,Moderate,11361,1.46,Large Cap Fund,Open Ended Schemes,2013-01-01
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Large & Mid Cap,Regular,Moderately High,49046,1.52,Large & Mid Cap,Open Ended Schemes,2013-01-01
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,ELSS,Regular,High,2989,1.6,Tax Saving,Open Ended Schemes,2013-01-01
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Large Cap,Regular,Moderate,41828,1.54,Large Cap Fund,Open Ended Schemes,2013-01-01
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Mid Cap,Regular,High,37835,1.61,Mid Cap Fund,Open Ended Schemes,2013-01-01
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Small Cap,Regular,Very High,35124,1.52,Small Cap Fund,Open Ended Schemes,2013-01-01
