amfi_code,scheme_name,date,nav
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-03,42.378
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-04,42.8822
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-05,43.2588
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-06,43.4519
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-07,43.1116
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-10,43.9531
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-11,44.2229
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-12,43.9129
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-13,43.7232
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-14,43.3068
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-17,43.4415
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-18,43.1652
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-19,44.0006
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-20,44.2314
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-21,43.2844
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-24,43.7746
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-25,43.8852
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-26,44.5164
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-27,44.8676
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-28,44.9803
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-01-31,44.7061
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-01,44.921
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-02,45.2906
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-03,44.7509
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-04,44.4985
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-07,44.0169
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-08,44.595
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-09,45.0131
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-10,44.8542
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-11,45.2721
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-14,44.7685
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-15,44.9366
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-16,45.1886
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-17,45.1087
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-18,45.3778
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-21,45.6957
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-22,46.1717
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-23,45.7006
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-24,45.5663
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-25,45.1028
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-02-28,45.3971
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-01,45.2558
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-02,45.4577
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-03,44.9027
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-04,44.6488
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-07,45.4213
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-08,45.4201
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-09,45.9275
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-10,45.6348
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-11,45.172
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-14,45.6976
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-15,45.9647
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-16,45.6914
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-17,46.4309
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-18,46.2009
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-21,45.8622
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-22,45.9981
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-23,45.8357
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-24,45.4999
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-25,45.5048
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-28,45.5259
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-29,45.8513
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-30,46.9739
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-03-31,47.5455
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-01,47.2983
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-04,48.4205
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-05,48.7907
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-06,48.8566
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-07,48.57
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-08,48.5837
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-11,48.459
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-12,48.8548
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-13,49.3318
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-14,49.2041
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-15,49.6574
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-18,49.3117
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-19,49.7098
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-20,49.54
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-21,49.0848
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-22,48.9468
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-25,48.9203
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-26,48.663
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-27,48.5601
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-28,48.3985
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-04-29,48.5555
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-02,48.814
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-03,48.7743
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-04,48.4908
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-05,48.3447
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-06,48.7261
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-09,48.6088
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-10,48.2225
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-11,47.3888
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-12,47.179
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-13,47.484
119551,SBI Bluechip Fund - Regular Plan - Growth,2022-05-16,47.1958
