amfi_code,HHI,scheme_name,category,concentration
119092,0.206448,Axis Bluechip Fund - Regular - Growth,Large Cap,🔴 High
101207,0.2007,ABSL Small Cap Fund - Regular - Growth,Small Cap,🔴 High
119599,0.174751,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,🔴 High
102885,0.174709,UTI Nifty 50 Index Fund - Regular - Growth,Index,🔴 High
118632,0.168298,Nippon India Large Cap Fund - Regular - Growth,Large Cap,🔴 High
148568,0.16793,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,🔴 High
120505,0.15757,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,🔴 High
120506,0.153794,ICICI Pru Value Discovery Fund - Regular - Growth,Value,🔴 High
125498,0.152414,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,🔴 High
120841,0.14968,Kotak Bluechip Fund - Regular - Growth,Large Cap,🟡 Moderate
148569,0.149396,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,🟡 Moderate
100033,0.147592,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,🟡 Moderate
149323,0.141621,DSP Midcap Fund - Regular - Growth,Mid Cap,🟡 Moderate
120503,0.14087,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,🟡 Moderate
100016,0.139534,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,🟡 Moderate
148567,0.138584,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,🟡 Moderate
125497,0.136586,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,🟡 Moderate
119094,0.136406,Axis Midcap Fund - Regular - Growth,Mid Cap,🟡 Moderate
118635,0.135944,Nippon India ETF Nifty 50 BeES,Index/ETF,🟡 Moderate
149322,0.134398,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,🟡 Moderate
119093,0.130894,Axis Bluechip Fund - Direct - Growth,Large Cap,🟡 Moderate
102887,0.129805,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,🟡 Moderate
101206,0.129332,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,🟡 Moderate
120843,0.128683,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,🟡 Moderate
120842,0.127439,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,🟡 Moderate
118633,0.121461,Nippon India Large Cap Fund - Direct - Growth,Large Cap,🟡 Moderate
119551,0.118716,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,🟡 Moderate
149324,0.118677,DSP Small Cap Fund - Regular - Growth,Small Cap,🟡 Moderate
102886,0.114693,UTI Mid Cap Fund - Regular - Growth,Mid Cap,🟡 Moderate
119095,0.109605,Axis Small Cap Fund - Regular - Growth,Small Cap,🟡 Moderate
120504,0.108674,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,🟡 Moderate
118634,0.108358,Nippon India Small Cap Fund - Regular - Growth,Small Cap,🟡 Moderate
119552,0.108011,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,🟡 Moderate
119598,0.107349,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,🟡 Moderate
