amfi_code,n_obs,ann_return_pct,ann_volatility_pct,VaR_95_pct,CVaR_95_pct,scheme_name,risk_grade,category
101207,1607,7.648,21.813,-2.3915,-3.0289,ABSL Small Cap Fund - Regular - Growth,Very High,Small Cap
119095,1607,3.286,21.193,-2.3284,-2.969,Axis Small Cap Fund - Regular - Growth,Very High,Small Cap
119599,1607,3.627,21.095,-2.3155,-3.0163,SBI Small Cap Fund - Direct Plan - Growth,Very High,Small Cap
118634,1607,12.741,21.347,-2.281,-2.994,Nippon India Small Cap Fund - Regular - Growth,Very High,Small Cap
149324,1607,21.516,21.019,-2.152,-2.8573,DSP Small Cap Fund - Regular - Growth,Very High,Small Cap
119598,1607,21.64,21.273,-2.1502,-2.8444,SBI Small Cap Fund - Regular Plan - Growth,Very High,Small Cap
119094,1607,18.499,16.425,-1.6997,-2.2375,Axis Midcap Fund - Regular - Growth,High,Mid Cap
120842,1607,5.62,15.131,-1.695,-2.1251,Kotak Emerging Equity Fund - Regular - Growth,High,Mid Cap
100033,1607,19.456,16.029,-1.6902,-2.185,HDFC Mid-Cap Opportunities Fund - Regular - Growth,High,Mid Cap
102886,1607,1.979,15.332,-1.6857,-2.1771,UTI Mid Cap Fund - Regular - Growth,High,Mid Cap
125498,1607,8.592,15.52,-1.6762,-2.1484,HDFC Mid-Cap Opportunities Fund - Direct - Growth,High,Mid Cap
120505,1607,20.925,16.331,-1.6224,-2.2363,ICICI Pru Midcap Fund - Regular - Growth,High,Mid Cap
149323,1607,19.012,15.023,-1.5866,-2.0903,DSP Midcap Fund - Regular - Growth,High,Mid Cap
148569,1607,20.253,14.965,-1.5259,-1.9852,Mirae Asset Tax Saver Fund - Regular - Growth,High,ELSS
102887,1607,11.628,13.331,-1.3743,-1.7964,UTI Flexi Cap Fund - Regular - Growth,Moderately High,Flexi Cap
120843,1607,19.491,13.454,-1.3327,-1.7114,Kotak Flexicap Fund - Regular - Growth,Moderately High,Flexi Cap
148568,1607,14.866,13.058,-1.3313,-1.7384,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Moderately High,Large & Mid Cap
120506,1607,11.714,12.885,-1.3005,-1.7792,ICICI Pru Value Discovery Fund - Regular - Growth,Moderately High,Value
149322,1607,9.41,12.142,-1.2955,-1.6995,DSP Top 100 Equity Fund - Regular - Growth,Moderate,Large Cap
100016,1607,2.551,12.3,-1.2884,-1.6768,HDFC Top 100 Fund - Regular Plan - Growth,Moderate,Large Cap
119092,1607,4.955,11.797,-1.2693,-1.6166,Axis Bluechip Fund - Regular - Growth,Moderate,Large Cap
148567,1607,19.345,12.025,-1.2607,-1.6343,Mirae Asset Large Cap Fund - Regular - Growth,Moderate,Large Cap
119093,1607,5.943,11.825,-1.2588,-1.6332,Axis Bluechip Fund - Direct - Growth,Moderate,Large Cap
120504,1607,15.19,12.159,-1.2531,-1.6226,ICICI Pru Bluechip Fund - Direct - Growth,Moderate,Large Cap
125497,1607,12.784,12.413,-1.2502,-1.6964,HDFC Top 100 Fund - Direct Plan - Growth,Moderate,Large Cap
118632,1607,15.59,11.978,-1.2333,-1.6328,Nippon India Large Cap Fund - Regular - Growth,Moderate,Large Cap
101206,1607,15.347,12.332,-1.2173,-1.6075,ABSL Frontline Equity Fund - Regular - Growth,Moderate,Large Cap
120503,1607,12.569,11.75,-1.2133,-1.61,ICICI Pru Bluechip Fund - Regular - Growth,Moderate,Large Cap
119552,1607,14.148,11.799,-1.2129,-1.6078,SBI Bluechip Fund - Direct Plan - Growth,Moderate,Large Cap
118633,1607,11.105,11.842,-1.2066,-1.5542,Nippon India Large Cap Fund - Direct - Growth,Moderate,Large Cap
119551,1607,16.519,11.637,-1.1827,-1.523,SBI Bluechip Fund - Regular Plan - Growth,Moderate,Large Cap
120841,1607,9.406,11.389,-1.1725,-1.5249,Kotak Bluechip Fund - Regular - Growth,Moderate,Large Cap
102885,1607,12.147,10.864,-1.1047,-1.4381,UTI Nifty 50 Index Fund - Regular - Growth,Moderate,Index
118635,1607,10.819,10.985,-1.1033,-1.4938,Nippon India ETF Nifty 50 BeES,Moderate,Index/ETF
119120,1607,4.005,3.358,-0.3429,-0.4618,SBI Magnum Gilt Fund - Regular Plan - Growth,Low,Gilt
118636,1607,3.631,3.373,-0.3344,-0.4541,Nippon India Gilt Securities Fund - Regular - Growth,Low,Gilt
100025,1607,3.064,3.304,-0.3338,-0.4581,HDFC Short Term Debt Fund - Regular - Growth,Low,Short Duration
101208,1607,4.352,0.462,-0.0218,-0.0371,ABSL Liquid Fund - Regular - Growth,Low,Liquid
120844,1607,4.615,0.471,-0.0204,-0.0362,Kotak Liquid Fund - Regular - Growth,Low,Liquid
120507,1607,4.823,0.46,-0.0196,-0.0325,ICICI Pru Liquid Fund - Regular - Growth,Low,Liquid
